keyframe_id,collection_id,video_id,frame_number,timestamp_ms,image_path,video_path
L21_V001_000037,L21,L21_V001,4157,138567,keyframes/L21_V001/037.jpg,
L21_V001_000038,L21,L21_V001,4184,139467,keyframes/L21_V001/038.jpg,
L21_V001_000039,L21,L21_V001,4308,143600,keyframes/L21_V001/039.jpg,
L21_V001_000040,L21,L21_V001,4428,147633,keyframes/L21_V001/040.jpg,
L21_V001_000041,L21,L21_V001,4551,151700,keyframes/L21_V001/041.jpg,
L21_V001_000042,L21,L21_V001,4686,156233,keyframes/L21_V001/042.jpg,
L21_V001_000043,L21,L21_V001,4835,161167,keyframes/L21_V001/043.jpg,
L21_V001_000044,L21,L21_V001,4932,164400,keyframes/L21_V001/044.jpg,
L21_V001_000045,L21,L21_V001,4998,166600,keyframes/L21_V001/045.jpg,
L21_V001_000046,L21,L21_V001,5082,169433,keyframes/L21_V001/046.jpg,
L21_V001_000047,L21,L21_V001,5160,172033,keyframes/L21_V001/047.jpg,
L21_V001_000048,L21,L21_V001,5370,179033,keyframes/L21_V001/048.jpg,
L21_V001_000049,L21,L21_V001,5550,185033,keyframes/L21_V001/049.jpg,
L21_V001_000050,L21,L21_V001,5760,192033,keyframes/L21_V001/050.jpg,
L21_V001_000051,L21,L21_V001,5889,196300,keyframes/L21_V001/051.jpg,
L21_V001_000052,L21,L21_V001,6099,203300,keyframes/L21_V001/052.jpg,
L21_V001_000053,L21,L21_V001,6279,209300,keyframes/L21_V001/053.jpg,
L21_V001_000054,L21,L21_V001,6386,212867,keyframes/L21_V001/054.jpg,
L21_V001_000055,L21,L21_V001,6534,217800,keyframes/L21_V001/055.jpg,
L21_V001_000056,L21,L21_V001,6674,222467,keyframes/L21_V001/056.jpg,
L21_V001_000057,L21,L21_V001,6822,227400,keyframes/L21_V001/057.jpg,
L21_V001_000058,L21,L21_V001,6933,231100,keyframes/L21_V001/058.jpg,
L21_V001_000059,L21,L21_V001,7074,235833,keyframes/L21_V001/059.jpg,
L21_V001_000060,L21,L21_V001,7202,240067,keyframes/L21_V001/060.jpg,
L21_V001_000061,L21,L21_V001,7412,247067,keyframes/L21_V001/061.jpg,
L21_V001_000062,L21,L21_V001,7622,254067,keyframes/L21_V001/062.jpg,
L21_V001_000063,L21,L21_V001,7811,260400,keyframes/L21_V001/063.jpg,
L21_V001_000064,L21,L21_V001,7923,264100,keyframes/L21_V001/064.jpg,
L21_V001_000065,L21,L21_V001,8073,269100,keyframes/L21_V001/065.jpg,
L21_V001_000066,L21,L21_V001,8268,275600,keyframes/L21_V001/066.jpg,
L21_V001_000067,L21,L21_V001,8358,278633,keyframes/L21_V001/067.jpg,
L21_V001_000068,L21,L21_V001,8456,281867,keyframes/L21_V001/068.jpg,
L21_V001_000069,L21,L21_V001,8622,287400,keyframes/L21_V001/069.jpg,
L21_V001_000070,L21,L21_V001,8730,291000,keyframes/L21_V001/070.jpg,
L21_V001_000071,L21,L21_V001,8820,294000,keyframes/L21_V001/071.jpg,
L21_V001_000072,L21,L21_V001,8973,299100,keyframes/L21_V001/072.jpg,
L21_V001_000073,L21,L21_V001,9155,305167,keyframes/L21_V001/073.jpg,
L21_V001_000074,L21,L21_V001,9351,311700,keyframes/L21_V001/074.jpg,
L21_V001_000075,L21,L21_V001,9498,316600,keyframes/L21_V001/075.jpg,
L21_V001_000076,L21,L21_V001,9708,323600,keyframes/L21_V001/076.jpg,
L21_V001_000077,L21,L21_V001,9854,328467,keyframes/L21_V001/077.jpg,
L21_V001_000078,L21,L21_V001,9987,332900,keyframes/L21_V001/078.jpg,
L21_V001_000079,L21,L21_V001,10137,337900,keyframes/L21_V001/079.jpg,
L21_V001_000080,L21,L21_V001,10224,340833,keyframes/L21_V001/080.jpg,
L21_V001_000081,L21,L21_V001,10314,343833,keyframes/L21_V001/081.jpg,
L21_V001_000082,L21,L21_V001,10355,345167,keyframes/L21_V001/082.jpg,
L21_V001_000083,L21,L21_V001,10437,347900,keyframes/L21_V001/083.jpg,
L21_V001_000084,L21,L21_V001,10502,350067,keyframes/L21_V001/084.jpg,
L21_V001_000085,L21,L21_V001,10653,355100,keyframes/L21_V001/085.jpg,
L21_V001_000086,L21,L21_V001,10698,356633,keyframes/L21_V001/086.jpg,
L21_V001_000087,L21,L21_V001,10868,362267,keyframes/L21_V001/087.jpg,
L21_V001_000088,L21,L21_V001,10908,363633,keyframes/L21_V001/088.jpg,
L21_V001_000089,L21,L21_V001,11000,366667,keyframes/L21_V001/089.jpg,
L21_V001_000090,L21,L21_V001,11195,373167,keyframes/L21_V001/090.jpg,
L21_V001_000091,L21,L21_V001,11400,380000,keyframes/L21_V001/091.jpg,
L21_V001_000092,L21,L21_V001,11501,383367,keyframes/L21_V001/092.jpg,
L21_V001_000093,L21,L21_V001,11691,389700,keyframes/L21_V001/093.jpg,
L21_V001_000094,L21,L21_V001,11781,392700,keyframes/L21_V001/094.jpg,
L21_V001_000095,L21,L21_V001,11964,398833,keyframes/L21_V001/095.jpg,
L21_V001_000096,L21,L21_V001,12171,405700,keyframes/L21_V001/096.jpg,
L21_V001_000097,L21,L21_V001,12278,409267,keyframes/L21_V001/097.jpg,
L21_V001_000098,L21,L21_V001,12335,411167,keyframes/L21_V001/098.jpg,
L21_V001_000099,L21,L21_V001,12390,413000,keyframes/L21_V001/099.jpg,
L21_V001_000100,L21,L21_V001,12450,415000,keyframes/L21_V001/100.jpg,
L21_V001_000101,L21,L21_V001,12510,417000,keyframes/L21_V001/101.jpg,
L21_V001_000102,L21,L21_V001,12528,417633,keyframes/L21_V001/102.jpg,
L21_V001_000103,L21,L21_V001,12558,418633,keyframes/L21_V001/103.jpg,
L21_V001_000104,L21,L21_V001,12600,420033,keyframes/L21_V001/104.jpg,
L21_V001_000105,L21,L21_V001,12630,421033,keyframes/L21_V001/105.jpg,
L21_V001_000106,L21,L21_V001,12818,427267,keyframes/L21_V001/106.jpg,
L21_V001_000107,L21,L21_V001,12962,432067,keyframes/L21_V001/107.jpg,
L21_V001_000108,L21,L21_V001,13071,435700,keyframes/L21_V001/108.jpg,
L21_V001_000109,L21,L21_V001,13137,437900,keyframes/L21_V001/109.jpg,
L21_V001_000110,L21,L21_V001,13347,444900,keyframes/L21_V001/110.jpg,
L21_V001_000111,L21,L21_V001,13467,448900,keyframes/L21_V001/111.jpg,
L21_V001_000112,L21,L21_V001,13631,454367,keyframes/L21_V001/112.jpg,
L21_V001_000113,L21,L21_V001,13734,457833,keyframes/L21_V001/113.jpg,
L21_V001_000114,L21,L21_V001,13892,463067,keyframes/L21_V001/114.jpg,
L21_V001_000115,L21,L21_V001,14045,468167,keyframes/L21_V001/115.jpg,
L21_V001_000116,L21,L21_V001,14124,470800,keyframes/L21_V001/116.jpg,
L21_V001_000117,L21,L21_V001,14211,473700,keyframes/L21_V001/117.jpg,
L21_V001_000118,L21,L21_V001,14361,478700,keyframes/L21_V001/118.jpg,
L21_V001_000119,L21,L21_V001,14564,485467,keyframes/L21_V001/119.jpg,
L21_V001_000120,L21,L21_V001,14622,487433,keyframes/L21_V001/120.jpg,
L21_V001_000121,L21,L21_V001,14703,490100,keyframes/L21_V001/121.jpg,
L21_V001_000122,L21,L21_V001,14792,493067,keyframes/L21_V001/122.jpg,
L21_V001_000123,L21,L21_V001,14883,496100,keyframes/L21_V001/123.jpg,
L21_V001_000124,L21,L21_V001,14975,499167,keyframes/L21_V001/124.jpg,
L21_V001_000125,L21,L21_V001,15032,501067,keyframes/L21_V001/125.jpg,
L21_V001_000126,L21,L21_V001,15065,502167,keyframes/L21_V001/126.jpg,
L21_V001_000127,L21,L21_V001,15146,504867,keyframes/L21_V001/127.jpg,
L21_V001_000128,L21,L21_V001,15186,506200,keyframes/L21_V001/128.jpg,
L21_V001_000129,L21,L21_V001,15242,508067,keyframes/L21_V001/129.jpg,
L21_V001_000130,L21,L21_V001,15330,511000,keyframes/L21_V001/130.jpg,
L21_V001_000131,L21,L21_V001,15356,511867,keyframes/L21_V001/131.jpg,
L21_V001_000132,L21,L21_V001,15566,518867,keyframes/L21_V001/132.jpg,
L21_V001_000133,L21,L21_V001,15771,525700,keyframes/L21_V001/133.jpg,
L21_V001_000134,L21,L21_V001,15863,528767,keyframes/L21_V001/134.jpg,
L21_V001_000135,L21,L21_V001,16068,535633,keyframes/L21_V001/135.jpg,
L21_V001_000136,L21,L21_V001,16184,539467,keyframes/L21_V001/136.jpg,
L21_V001_000137,L21,L21_V001,16302,543433,keyframes/L21_V001/137.jpg,
L21_V001_000138,L21,L21_V001,16397,546567,keyframes/L21_V001/138.jpg,
L21_V001_000139,L21,L21_V001,16506,550200,keyframes/L21_V001/139.jpg,
L21_V001_000140,L21,L21_V001,16596,553200,keyframes/L21_V001/140.jpg,
L21_V001_000141,L21,L21_V001,16634,554467,keyframes/L21_V001/141.jpg,
L21_V001_000142,L21,L21_V001,16754,558467,keyframes/L21_V001/142.jpg,
L21_V001_000143,L21,L21_V001,16926,564200,keyframes/L21_V001/143.jpg,
L21_V001_000144,L21,L21_V001,17067,568900,keyframes/L21_V001/144.jpg,
L21_V001_000145,L21,L21_V001,17190,573033,keyframes/L21_V001/145.jpg,
L21_V001_000146,L21,L21_V001,17378,579267,keyframes/L21_V001/146.jpg,
L21_V001_000147,L21,L21_V001,17514,583800,keyframes/L21_V001/147.jpg,
L21_V001_000148,L21,L21_V001,17580,586033,keyframes/L21_V001/148.jpg,
L21_V001_000149,L21,L21_V001,17790,593033,keyframes/L21_V001/149.jpg,
L21_V001_000150,L21,L21_V001,17880,596033,keyframes/L21_V001/150.jpg,
L21_V001_000151,L21,L21_V001,18074,602467,keyframes/L21_V001/151.jpg,
L21_V001_000152,L21,L21_V001,18164,605467,keyframes/L21_V001/152.jpg,
L21_V001_000153,L21,L21_V001,18315,610500,keyframes/L21_V001/153.jpg,
L21_V001_000154,L21,L21_V001,18486,616200,keyframes/L21_V001/154.jpg,
L21_V001_000155,L21,L21_V001,18648,621633,keyframes/L21_V001/155.jpg,
L21_V001_000156,L21,L21_V001,18741,624700,keyframes/L21_V001/156.jpg,
L21_V001_000157,L21,L21_V001,18866,628867,keyframes/L21_V001/157.jpg,
L21_V001_000158,L21,L21_V001,19050,635033,keyframes/L21_V001/158.jpg,
L21_V001_000159,L21,L21_V001,19218,640600,keyframes/L21_V001/159.jpg,
L21_V001_000160,L21,L21_V001,19415,647167,keyframes/L21_V001/160.jpg,
L21_V001_000161,L21,L21_V001,19625,654167,keyframes/L21_V001/161.jpg,
L21_V001_000162,L21,L21_V001,19722,657400,keyframes/L21_V001/162.jpg,
L21_V001_000163,L21,L21_V001,19860,662033,keyframes/L21_V001/163.jpg,
L21_V001_000164,L21,L21_V001,19950,665033,keyframes/L21_V001/164.jpg,
L21_V001_000165,L21,L21_V001,20145,671500,keyframes/L21_V001/165.jpg,
L21_V001_000166,L21,L21_V001,20235,674500,keyframes/L21_V001/166.jpg,
L21_V001_000167,L21,L21_V001,20354,678467,keyframes/L21_V001/167.jpg,
L21_V001_000168,L21,L21_V001,20406,680200,keyframes/L21_V001/168.jpg,
L21_V001_000169,L21,L21_V001,20612,687067,keyframes/L21_V001/169.jpg,
L21_V001_000170,L21,L21_V001,20702,690067,keyframes/L21_V001/170.jpg,
L21_V001_000171,L21,L21_V001,20825,694167,keyframes/L21_V001/171.jpg,
L21_V001_000172,L21,L21_V001,20906,696867,keyframes/L21_V001/172.jpg,
L21_V001_000173,L21,L21_V001,21071,702367,keyframes/L21_V001/173.jpg,
L21_V001_000174,L21,L21_V001,21281,709367,keyframes/L21_V001/174.jpg,
L21_V001_000175,L21,L21_V001,21414,713833,keyframes/L21_V001/175.jpg,
L21_V001_000176,L21,L21_V001,21624,720833,keyframes/L21_V001/176.jpg,
L21_V001_000177,L21,L21_V001,21753,725100,keyframes/L21_V001/177.jpg,
L21_V001_000178,L21,L21_V001,21843,728100,keyframes/L21_V001/178.jpg,
L21_V001_000179,L21,L21_V001,21933,731100,keyframes/L21_V001/179.jpg,
L21_V001_000180,L21,L21_V001,22103,736767,keyframes/L21_V001/180.jpg,
L21_V001_000181,L21,L21_V001,22142,738067,keyframes/L21_V001/181.jpg,
L21_V001_000182,L21,L21_V001,22175,739167,keyframes/L21_V001/182.jpg,
L21_V001_000183,L21,L21_V001,22284,742833,keyframes/L21_V001/183.jpg,
L21_V001_000184,L21,L21_V001,22392,746400,keyframes/L21_V001/184.jpg,
L21_V001_000185,L21,L21_V001,22485,749500,keyframes/L21_V001/185.jpg,
L21_V001_000186,L21,L21_V001,22584,752833,keyframes/L21_V001/186.jpg,
L21_V001_000187,L21,L21_V001,22658,755267,keyframes/L21_V001/187.jpg,
L21_V001_000188,L21,L21_V001,22707,756900,keyframes/L21_V001/188.jpg,
L21_V001_000189,L21,L21_V001,22917,763900,keyframes/L21_V001/189.jpg,
L21_V001_000190,L21,L21_V001,23007,766900,keyframes/L21_V001/190.jpg,
L21_V001_000191,L21,L21_V001,23163,772100,keyframes/L21_V001/191.jpg,
L21_V001_000192,L21,L21_V001,23193,773100,keyframes/L21_V001/192.jpg,
L21_V001_000193,L21,L21_V001,23235,774500,keyframes/L21_V001/193.jpg,
L21_V001_000194,L21,L21_V001,23403,780100,keyframes/L21_V001/194.jpg,
L21_V001_000195,L21,L21_V001,23498,783267,keyframes/L21_V001/195.jpg,
L21_V001_000196,L21,L21_V001,23586,786233,keyframes/L21_V001/196.jpg,
L21_V001_000197,L21,L21_V001,23672,789067,keyframes/L21_V001/197.jpg,
L21_V001_000198,L21,L21_V001,23802,793400,keyframes/L21_V001/198.jpg,
L21_V001_000199,L21,L21_V001,23982,799400,keyframes/L21_V001/199.jpg,
L21_V001_000200,L21,L21_V001,24141,804700,keyframes/L21_V001/200.jpg,
L21_V001_000201,L21,L21_V001,24269,808967,keyframes/L21_V001/201.jpg,
L21_V001_000202,L21,L21_V001,24303,810100,keyframes/L21_V001/202.jpg,
L21_V001_000203,L21,L21_V001,24435,814500,keyframes/L21_V001/203.jpg,
L21_V001_000204,L21,L21_V001,24569,818967,keyframes/L21_V001/204.jpg,
L21_V001_000205,L21,L21_V001,24678,822633,keyframes/L21_V001/205.jpg,
L21_V001_000206,L21,L21_V001,24750,825033,keyframes/L21_V001/206.jpg,
L21_V001_000207,L21,L21_V001,24960,832033,keyframes/L21_V001/207.jpg,
L21_V001_000208,L21,L21_V001,25080,836033,keyframes/L21_V001/208.jpg,
L21_V001_000209,L21,L21_V001,25202,840067,keyframes/L21_V001/209.jpg,
L21_V001_000210,L21,L21_V001,25400,846667,keyframes/L21_V001/210.jpg,
L21_V001_000211,L21,L21_V001,25490,849667,keyframes/L21_V001/211.jpg,
L21_V001_000212,L21,L21_V001,25559,851967,keyframes/L21_V001/212.jpg,
L21_V001_000213,L21,L21_V001,25698,856600,keyframes/L21_V001/213.jpg,
L21_V001_000214,L21,L21_V001,25817,860567,keyframes/L21_V001/214.jpg,
L21_V001_000215,L21,L21_V001,25884,862833,keyframes/L21_V001/215.jpg,
L21_V001_000216,L21,L21_V001,26028,867633,keyframes/L21_V001/216.jpg,
L21_V001_000217,L21,L21_V001,26154,871800,keyframes/L21_V001/217.jpg,
L21_V001_000218,L21,L21_V001,26358,878600,keyframes/L21_V001/218.jpg,
L21_V001_000219,L21,L21_V001,26508,883600,keyframes/L21_V001/219.jpg,
L21_V001_000220,L21,L21_V001,26670,889033,keyframes/L21_V001/220.jpg,
L21_V001_000221,L21,L21_V001,26820,894033,keyframes/L21_V001/221.jpg,
L21_V001_000222,L21,L21_V001,26996,899867,keyframes/L21_V001/222.jpg,
L21_V001_000223,L21,L21_V001,27098,903267,keyframes/L21_V001/223.jpg,
L21_V001_000224,L21,L21_V001,27188,906267,keyframes/L21_V001/224.jpg,
L21_V001_000225,L21,L21_V001,27314,910467,keyframes/L21_V001/225.jpg,
L21_V001_000226,L21,L21_V001,27522,917433,keyframes/L21_V001/226.jpg,
L21_V001_000227,L21,L21_V001,27726,924233,keyframes/L21_V001/227.jpg,
L21_V001_000228,L21,L21_V001,27908,930267,keyframes/L21_V001/228.jpg,
L21_V001_000229,L21,L21_V001,28109,936967,keyframes/L21_V001/229.jpg,
L21_V001_000230,L21,L21_V001,28295,943167,keyframes/L21_V001/230.jpg,
L21_V001_000231,L21,L21_V001,28346,944867,keyframes/L21_V001/231.jpg,
L21_V001_000232,L21,L21_V001,28428,947600,keyframes/L21_V001/232.jpg,
L21_V001_000233,L21,L21_V001,28634,954467,keyframes/L21_V001/233.jpg,
L21_V001_000234,L21,L21_V001,28724,957467,keyframes/L21_V001/234.jpg,
L21_V001_000235,L21,L21_V001,28853,961767,keyframes/L21_V001/235.jpg,
L21_V001_000236,L21,L21_V001,29051,968367,keyframes/L21_V001/236.jpg,
L21_V001_000237,L21,L21_V001,29156,971867,keyframes/L21_V001/237.jpg,
L21_V001_000238,L21,L21_V001,29322,977433,keyframes/L21_V001/238.jpg,
L21_V001_000239,L21,L21_V001,29366,978867,keyframes/L21_V001/239.jpg,
L21_V001_000240,L21,L21_V001,29532,984400,keyframes/L21_V001/240.jpg,
L21_V001_000241,L21,L21_V001,29658,988600,keyframes/L21_V001/241.jpg,
L21_V001_000242,L21,L21_V001,29807,993567,keyframes/L21_V001/242.jpg,
L21_V001_000243,L21,L21_V001,30005,1000170,keyframes/L21_V001/243.jpg,
L21_V001_000244,L21,L21_V001,30095,1003170,keyframes/L21_V001/244.jpg,
L21_V001_000245,L21,L21_V001,30302,1010070,keyframes/L21_V001/245.jpg,
L21_V001_000246,L21,L21_V001,30443,1014770,keyframes/L21_V001/246.jpg,
L21_V001_000247,L21,L21_V001,30632,1021070,keyframes/L21_V001/247.jpg,
L21_V001_000248,L21,L21_V001,30722,1024100,keyframes/L21_V001/248.jpg,
L21_V001_000249,L21,L21_V001,30932,1031100,keyframes/L21_V001/249.jpg,
L21_V001_000250,L21,L21_V001,31124,1037470,keyframes/L21_V001/250.jpg,
L21_V001_000251,L21,L21_V001,31290,1043030,keyframes/L21_V001/251.jpg,
L21_V001_000252,L21,L21_V001,31380,1046030,keyframes/L21_V001/252.jpg,
L21_V001_000253,L21,L21_V001,31560,1052030,keyframes/L21_V001/253.jpg,
L21_V001_000254,L21,L21_V001,31757,1058600,keyframes/L21_V001/254.jpg,
L21_V001_000255,L21,L21_V001,31935,1064500,keyframes/L21_V001/255.jpg,
L21_V001_000256,L21,L21_V001,32076,1069200,keyframes/L21_V001/256.jpg,
L21_V001_000257,L21,L21_V001,32256,1075200,keyframes/L21_V001/257.jpg,
L21_V001_000258,L21,L21_V001,32286,1076200,keyframes/L21_V001/258.jpg,
L21_V001_000259,L21,L21_V001,32420,1080670,keyframes/L21_V001/259.jpg,
L21_V001_000260,L21,L21_V001,32531,1084370,keyframes/L21_V001/260.jpg,
L21_V001_000261,L21,L21_V001,32622,1087430,keyframes/L21_V001/261.jpg,
L21_V001_000262,L21,L21_V001,32736,1091230,keyframes/L21_V001/262.jpg,
L21_V001_000263,L21,L21_V001,32828,1094270,keyframes/L21_V001/263.jpg,
L21_V001_000264,L21,L21_V001,32919,1097300,keyframes/L21_V001/264.jpg,
L21_V001_000265,L21,L21_V001,32978,1099270,keyframes/L21_V001/265.jpg,
L21_V001_000266,L21,L21_V001,33116,1103870,keyframes/L21_V001/266.jpg,
L21_V001_000267,L21,L21_V001,33176,1105870,keyframes/L21_V001/267.jpg,
L21_V001_000268,L21,L21_V001,33363,1112100,keyframes/L21_V001/268.jpg,
L21_V001_000269,L21,L21_V001,33453,1115100,keyframes/L21_V001/269.jpg,
L21_V001_000270,L21,L21_V001,33618,1120630,keyframes/L21_V001/270.jpg,
L21_V001_000271,L21,L21_V001,33771,1125700,keyframes/L21_V001/271.jpg,
L21_V001_000272,L21,L21_V001,33861,1128700,keyframes/L21_V001/272.jpg,
L21_V001_000273,L21,L21_V001,33983,1132770,keyframes/L21_V001/273.jpg,
L21_V001_000274,L21,L21_V001,34032,1134400,keyframes/L21_V001/274.jpg,
L21_V001_000275,L21,L21_V001,34092,1136400,keyframes/L21_V001/275.jpg,
L21_V001_000276,L21,L21_V001,34166,1138870,keyframes/L21_V001/276.jpg,
L21_V001_000277,L21,L21_V001,34272,1142430,keyframes/L21_V001/277.jpg,
L21_V001_000278,L21,L21_V001,34445,1148170,keyframes/L21_V001/278.jpg,
L21_V001_000279,L21,L21_V001,34655,1155170,keyframes/L21_V001/279.jpg,
L21_V001_000280,L21,L21_V001,34749,1158300,keyframes/L21_V001/280.jpg,
L21_V001_000281,L21,L21_V001,34866,1162230,keyframes/L21_V001/281.jpg,
L21_V001_000282,L21,L21_V001,34961,1165370,keyframes/L21_V001/282.jpg,
L21_V001_000283,L21,L21_V001,35034,1167800,keyframes/L21_V001/283.jpg,
L21_V001_000284,L21,L21_V001,35060,1168670,keyframes/L21_V001/284.jpg,
L21_V001_000285,L21,L21_V001,35150,1171670,keyframes/L21_V001/285.jpg,
L21_V001_000286,L21,L21_V001,35208,1173630,keyframes/L21_V001/286.jpg,
L21_V001_000287,L21,L21_V001,35346,1178230,keyframes/L21_V001/287.jpg,
L21_V001_000288,L21,L21_V001,35436,1181230,keyframes/L21_V001/288.jpg,
L21_V001_000289,L21,L21_V001,35550,1185030,keyframes/L21_V001/289.jpg,
L21_V001_000290,L21,L21_V001,35709,1190300,keyframes/L21_V001/290.jpg,
L21_V001_000291,L21,L21_V001,35910,1197000,keyframes/L21_V001/291.jpg,
L21_V001_000292,L21,L21_V001,36006,1200200,keyframes/L21_V001/292.jpg,
L21_V001_000293,L21,L21_V001,36053,1201770,keyframes/L21_V001/293.jpg,
L21_V001_000294,L21,L21_V001,36203,1206770,keyframes/L21_V001/294.jpg,
L21_V001_000295,L21,L21_V001,36318,1210600,keyframes/L21_V001/295.jpg,
L21_V001_000296,L21,L21_V001,36402,1213430,keyframes/L21_V001/296.jpg,
L21_V001_000297,L21,L21_V001,36612,1220430,keyframes/L21_V001/297.jpg,
L21_V001_000298,L21,L21_V001,36734,1224470,keyframes/L21_V001/298.jpg,
L21_V001_000299,L21,L21_V001,36764,1225470,keyframes/L21_V001/299.jpg,
L21_V001_000300,L21,L21_V001,36872,1229070,keyframes/L21_V001/300.jpg,
L21_V001_000301,L21,L21_V001,37011,1233700,keyframes/L21_V001/301.jpg,
L21_V001_000302,L21,L21_V001,37167,1238900,keyframes/L21_V001/302.jpg,
L21_V001_000303,L21,L21_V001,37221,1240700,keyframes/L21_V001/303.jpg,
L21_V001_000304,L21,L21_V001,37236,1241230,keyframes/L21_V001/304.jpg,
L21_V001_000305,L21,L21_V001,37359,1245300,keyframes/L21_V001/305.jpg,
L21_V001_000306,L21,L21_V001,37566,1252230,keyframes/L21_V001/306.jpg,
L21_V001_000307,L21,L21_V001,37716,1257230,keyframes/L21_V001/307.jpg,
L21_V002_000001,L21,L21_V002,0,0,keyframes/L21_V002/001.jpg,
L21_V002_000002,L21,L21_V002,90,3000,keyframes/L21_V002/002.jpg,
L21_V002_000003,L21,L21_V002,300,10000,keyframes/L21_V002/003.jpg,
L21_V002_000004,L21,L21_V002,462,15400,keyframes/L21_V002/004.jpg,
L21_V002_000005,L21,L21_V002,486,16200,keyframes/L21_V002/005.jpg,
L21_V002_000006,L21,L21_V002,527,17567,keyframes/L21_V002/006.jpg,
L21_V002_000007,L21,L21_V002,629,20967,keyframes/L21_V002/007.jpg,
L21_V002_000008,L21,L21_V002,680,22667,keyframes/L21_V002/008.jpg,
L21_V002_000009,L21,L21_V002,828,27600,keyframes/L21_V002/009.jpg,
L21_V002_000010,L21,L21_V002,1007,33567,keyframes/L21_V002/010.jpg,
L21_V002_000011,L21,L21_V002,1179,39333,keyframes/L21_V002/011.jpg,
L21_V002_000012,L21,L21_V002,1365,45533,keyframes/L21_V002/012.jpg,
L21_V002_000013,L21,L21_V002,1419,47333,keyframes/L21_V002/013.jpg,
L21_V002_000014,L21,L21_V002,1467,48933,keyframes/L21_V002/014.jpg,
L21_V002_000015,L21,L21_V002,1565,52167,keyframes/L21_V002/015.jpg,
L21_V002_000016,L21,L21_V002,1653,55100,keyframes/L21_V002/016.jpg,
L21_V002_000017,L21,L21_V002,1730,57667,keyframes/L21_V002/017.jpg,
L21_V002_000018,L21,L21_V002,1893,63133,keyframes/L21_V002/018.jpg,
L21_V002_000019,L21,L21_V002,2103,70133,keyframes/L21_V002/019.jpg,
L21_V002_000020,L21,L21_V002,2211,73700,keyframes/L21_V002/020.jpg,
L21_V002_000021,L21,L21_V002,2283,76133,keyframes/L21_V002/021.jpg,
L21_V002_000022,L21,L21_V002,2331,77733,keyframes/L21_V002/022.jpg,
L21_V002_000023,L21,L21_V002,2501,83367,keyframes/L21_V002/023.jpg,
